"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_LY1AQJRCU9WK";1;1;1;1;2;1;NA;"19";NA
"FA20_J3XX7NX7M0J4";1;1;2;1;2;2;2;"5,18";1
"FA20_I5TIAHM9GDFI";1;3;2;1;4;1;2;"2,5,15";1
"FA20_TVWIXKA2JMOB";1;4;2;2;4;2;2;"1,2,15";NA
"FA20_099DSJXP660I";1;2;1;1;3;1;3;"15";NA
"FA20_ZPSLF94XFJAZ";2;2;3;2;4;2;2;"10";NA
"FA20_N7MVALVPXH4A";2;4;2;2;4;2;3;"3,18,19";NA
"FA20_J7W24TVXZJOP";1;2;2;1;2;1;2;"4,5,9,12";3
"FA20_241JGPZFPSRT";2;4;2;1;4;3;3;"2";NA
"FA20_VG7F2FR2PRAG";1;1;3;1;2;1;3;"4,10,18";NA
"FA20_TNJU6511GDY3";1;3;1;2;3;3;2;"5,18";2
"FA20_NMGMYK26F0K3";1;2;2;1;2;3;2;"2,4,5,18";1
"FA20_2YLZWYF9DPN4";1;1;1;2;1;2;1;"15";NA
"FA20_IQESTSWEITPF";1;2;3;2;2;2;4;"2,5,12";1
"FA20_1HCM9SEFIRTT";1;3;2;2;3;2;1;"1,2,4,5,15";1
"FA20_19AFKNN3LB92";NA;NA;NA;NA;NA;NA;NA;"15";NA
"FA20_TOUXFGNQJ9BK";2;1;2;1;1;1;1;"19";NA
"FA20_4N4QJHCFYM6L";1;3;1;1;2;2;1;"6,8,12";NA
"FA20_R94ZAT2PXRRN";1;3;2;1;4;1;NA;"1,2,18";NA
"FA20_6RRB7RD66BEJ";1;2;4;1;2;1;4;"4,5,18";2
"FA20_OR4ZWH416ZID";1;2;3;1;2;1;4;"2";NA
"FA20_1JDDLHMVB4ML";1;1;4;1;2;1;3;"1";NA
"FA20_GJWVAXTH6798";1;1;3;1;2;1;3;"4,5,7,12";2
"FA20_BK8NXRY5R5U1";2;2;2;2;2;1;2;"2,4,5";1
"FA20_SX11UUN9SBPU";1;1;4;1;1;1;3;"15";NA
"FA20_I1C17E9C6N1L";1;2;3;1;2;2;2;"7";NA
"FA20_I00ZO1NRAN4V";1;1;3;1;2;1;4;"1,16";NA
"FA20_WNKZLDYDL0GS";2;3;2;3;2;2;3;"2,5,8,9,12,15,18";1
"FA20_PT2YHP0OSIG6";1;1;3;1;2;1;3;"5,15";1
"FA20_GL29K8ZGOYU5";1;2;1;3;3;4;1;"4,5,13";2
"FA20_ACKJM8X7MFQA";1;2;3;1;2;1;3;"8";NA
"FA20_QJ0LQCNDOVOU";1;2;2;1;2;1;2;"8";NA
"FA20_X1J6WCQXQWOM";1;2;2;2;3;4;1;"15";NA
"FA20_MQYZO6839IRX";2;2;4;4;4;4;4;"5,8,9";1
"FA20_1Y91NEDKRAM0";1;1;3;1;2;3;2;"2,4,5,7,10,11,15,18";3
"FA20_VMFTJ7O8X6QM";1;2;2;1;2;1;3;"19";NA
"FA20_KJUUGEII0LOW";2;2;2;1;3;1;1;"1";NA
"FA20_FFB6RWHE8WJ3";1;1;1;1;2;1;4;"15";NA
"FA20_9DMW3O6RBU8Y";1;2;2;2;3;2;2;"15";NA
"FA20_DTJBEGDMZRNF";1;2;4;1;2;1;3;"1,18";NA
