"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"support_election2020_t1"
"FA20_01GGS494K9QA";3;5;2;1;3;4;3;4;3;4;2;3;3;4;3;5;3;4;2;1;7;2;2
"FA20_02IYYIRNC5WN";7;7;7;7;6;3;3;4;3;4;4;4;3;3;2;4;4;3;4;2;6;2;2
"FA20_057L052NRXLM";2;3;3;2;1;3;2;2;4;2;2;2;3;3;5;5;2;5;3;1;4;4;2
"FA20_058SFMDTSWQ8";7;7;7;6;6;3;3;3;3;3;3;4;2;4;3;3;4;2;4;4;5;3;2
"FA20_06Y7734Z99S2";2;3;2;3;4;4;3;2;3;3;3;3;4;3;3;5;3;4;3;2;6;NA;NA
"FA20_07JUEFFUWBIG";4;5;4;5;2;4;2;2;3;2;2;2;3;3;3;5;3;5;2;1;7;2;2
"FA20_099DSJXP660I";5;7;5;2;2;3;3;2;4;1;3;1;4;2;3;5;2;4;1;3;3;2;2
"FA20_09P025YG7BY0";2;6;6;6;1;2;3;3;2;4;3;4;2;3;2;2;4;2;3;3;7;3;NA
"FA20_0CQ277AQDRLV";5;5;5;6;5;4;3;4;3;4;3;3;3;3;3;5;4;4;3;2;7;2;2
"FA20_0CZU6GPE47MH";4;3;5;4;6;4;2;2;4;2;2;2;4;3;2;4;3;4;3;3;7;1;1
"FA20_0DERWF0FWF3R";3;1;2;1;1;4;1;2;3;1;3;3;4;3;5;4;3;5;5;1;4;3;2
"FA20_0EWERGFB6SBT";3;3;5;3;3;2;3;4;2;3;3;3;2;3;1;2;4;2;3;4;6;2;2
"FA20_0F3JKU6YQ2LB";5;5;5;6;4;3;3;2;3;3;3;3;3;3;5;5;3;4;3;3;6;4;3
"FA20_0GN5N1TAG1XZ";6;7;7;7;6;2;4;4;2;4;2;3;2;4;2;3;5;2;5;5;7;3;3
"FA20_0IF3S501IAZM";2;3;4;4;3;4;4;3;3;3;3;3;3;4;5;5;3;5;3;1;4;2;2
"FA20_0IPMVR7EY772";2;2;2;2;2;4;2;1;4;2;2;2;4;2;2;4;2;3;2;2;7;2;2
"FA20_0IVRD2QPWXI2";3;3;3;5;3;4;3;3;4;3;3;3;3;3;1;3;3;4;3;2;7;2;2
"FA20_0KJDE7G10W70";5;5;6;5;5;2;4;4;2;4;4;4;2;4;3;3;5;2;4;3;6;2;2
"FA20_0M1HIL0IRGSX";6;6;7;7;7;3;2;2;4;2;3;2;4;3;1;5;3;3;3;2;3;2;2
"FA20_0ME93O1LSDR2";3;5;4;5;5;4;4;4;2;4;2;3;3;4;2;4;3;4;2;2;7;2;2
"FA20_0MKHHGE0CE9G";4;3;2;1;3;4;3;3;3;3;3;3;3;2;1;5;4;2;3;2;6;1;1
"FA20_0MZ8EKJ09FJC";3;4;5;4;2;4;2;1;4;2;2;1;4;2;3;2;3;5;2;3;2;3;2
"FA20_0ODH4SBSYB5M";3;2;2;6;2;4;4;3;4;2;4;2;4;3;2;4;3;2;2;3;8;2;2
"FA20_0P728JF6W68K";2;2;2;4;5;3;3;4;2;3;3;3;3;3;1;5;3;4;3;2;6;2;2
"FA20_0QJ7VRRGCE33";3;2;2;2;4;3;4;4;2;4;3;4;3;4;5;5;4;4;4;1;6;2;2
"FA20_0QJX4YSAUWPF";7;7;7;7;6;2;3;4;1;4;4;3;1;4;1;2;5;1;3;5;9;1;1
