"id";"political_orientation_t2";"swls_1_t2";"swls_2_t2";"swls_3_t2";"swls_4_t2";"swls_5_t2";"uls_1_t2";"uls_2_t2";"uls_3_t2";"uls_4_t2";"uls_5_t2";"uls_6_t2";"uls_7_t2";"uls_8_t2";"uls_9_t2";"awb_1_t2";"awb_2_t2";"awb_3_t2";"awb_4_t2";"awb_5_t2";"awb_6_t2";"ksa_1_t2";"ksa_2_t2";"ksa_3_t2"
"SP21_01HSI369CBM1";2;5;5;3;4;2;2;3;4;2;3;3;3;2;4;1;3;5;2;4;3;1;1;1
"SP21_07TOVPQBNI8S";2;2;5;2;3;2;4;2;3;4;3;3;3;4;2;1;3;2;2;2;4;3;3;4
"SP21_086B9R718OS1";1;3;4;5;5;2;3;3;3;2;4;3;3;3;3;1;2;3;2;3;2;1;2;2
"SP21_09ABKJUD9BE3";2;3;4;4;4;5;4;2;2;4;2;2;2;4;3;4;5;4;4;2;1;1;1;2
"SP21_0CS2F8ESDPDW";4;7;7;7;7;6;2;3;4;2;4;4;4;2;2;3;3;5;3;4;5;2;3;3
"SP21_0FOZWYAHJMAV";4;5;3;3;5;5;3;4;2;2;2;3;2;4;3;2;4;3;2;3;3;3;2;4
"SP21_0GNCVXEOO6U6";2;6;7;6;6;7;2;4;4;2;4;4;4;2;4;2;2;4;2;5;2;2;3;3
"SP21_0HZ8UMYNHYLO";3;3;5;6;6;7;3;3;2;3;3;2;3;2;3;1;3;4;2;2;1;2;2;2
"SP21_0JO303HITVRY";2;3;3;3;4;3;3;3;2;3;3;3;3;3;3;2;3;4;2;3;2;2;3;3
"SP21_0JTS0IYQ6GEL";6;6;6;6;6;6;3;4;4;2;4;4;4;1;4;1;2;5;2;3;4;3;2;3
"SP21_0MUQP80Z3FXV";3;6;6;6;6;6;2;3;3;3;3;3;3;3;3;2;2;3;2;3;3;3;3;3
"SP21_0NOPNJ8IEOZZ";5;5;5;5;6;2;4;3;2;3;3;2;2;3;3;4;5;3;4;4;4;4;4;2
"SP21_0OEWUCMBK6C6";2;6;6;6;6;7;2;3;4;2;4;3;4;3;3;1;5;5;2;4;3;3;2;2
"SP21_0TBDDZH4PO3H";2;2;4;2;3;2;2;3;3;2;3;3;3;2;3;1;4;3;2;3;2;1;2;2
"SP21_11IY754ELU8S";2;4;5;5;5;5;3;3;3;3;3;3;3;4;4;3;5;4;4;3;1;1;1;2
"SP21_13TSP6RIQVL5";1;3;3;5;4;2;2;4;4;3;4;4;4;2;4;2;4;4;2;4;3;1;1;4
"SP21_142DKLHBZFTO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SP21_16GWUE85WC6E";3;1;1;2;2;6;4;2;2;4;2;2;2;4;1;4;2;1;2;1;3;4;1;2
"SP21_194RM815NFRY";4;3;5;2;5;3;3;2;3;4;3;3;2;4;1;4;4;3;4;2;3;2;4;2
"SP21_19F0RKNQUUYP";1;2;3;4;3;1;3;2;3;3;3;2;3;3;3;1;2;4;2;4;4;2;1;2
"SP21_1BDCIFBIC16D";3;6;5;6;5;5;4;3;2;4;2;2;2;3;2;1;4;4;2;2;3;2;2;3
"SP21_1BO2HWKOQU49";3;4;5;3;5;1;4;3;2;3;3;3;2;4;3;2;4;3;3;2;2;2;2;3
"SP21_1JSVV3FCKRB1";5;5;6;6;5;6;4;2;2;4;2;2;2;4;3;3;5;3;5;2;2;3;3;3
"SP21_1LBWWW6QYQG0";1;5;5;5;5;2;4;3;1;4;1;2;2;4;2;3;3;3;3;3;1;1;1;2
"SP21_1LJ1HP2RKIQ4";3;1;5;5;4;3;2;2;3;3;3;3;3;3;3;2;4;3;4;2;2;2;2;3
"SP21_1LZKRY7UB9E8";3;6;6;6;6;6;3;4;4;2;4;4;4;2;4;1;1;4;2;4;5;2;3;3
"SP21_1N96XSMJ9KKL";4;7;7;7;4;7;3;4;4;2;3;4;4;2;4;1;3;5;2;5;5;1;1;3
"SP21_1N9N93UBMKLC";2;5;6;5;6;7;1;4;4;1;4;4;4;2;4;1;1;5;1;5;4;3;3;4
"SP21_1RDTLXJB9YZ9";3;4;4;5;3;3;3;3;3;2;3;2;3;3;2;2;4;4;3;3;4;2;3;4
