"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"voting_2020_t1";"political_orientation"
"SP21_00SXN0UGY4AP";5;3;5;6;3;3;3;4;3;4;3;3;3;3;3;5;4;2;3;2;6;2;2;2
"SP21_01HSI369CBM1";6;5;5;5;3;2;3;4;2;4;3;4;2;4;2;4;5;3;5;3;NA;2;2;2
"SP21_01WAR93XCZG7";5;5;6;5;4;3;4;2;4;2;3;3;3;3;2;3;4;2;3;4;8;2;2;2
"SP21_03DH6QEWW3O7";4;7;5;5;1;3;3;4;3;3;2;2;4;2;2;2;3;2;2;2;8;2;2;2
"SP21_07TOVPQBNI8S";2;3;2;3;3;4;3;4;4;4;3;3;4;3;2;4;3;3;3;2;4;2;2;2
"SP21_086B9R718OS1";2;4;3;3;4;3;3;3;3;3;3;3;4;3;1;2;2;3;1;1;4;3;2;1
"SP21_091Q1LFJXRN3";1;2;2;2;1;4;2;2;4;2;3;2;4;3;4;4;1;4;2;2;4;2;2;3
"SP21_09ABKJUD9BE3";5;4;4;5;6;4;2;2;4;2;2;2;4;1;3;5;2;3;2;1;5;2;2;2
"SP21_0BY395PNN1Q8";5;4;6;5;7;4;3;3;3;4;4;4;3;4;2;4;3;2;2;1;7;3;2;1
"SP21_0CS2F8ESDPDW";5;5;5;5;2;2;4;4;3;3;3;3;3;3;2;5;4;3;3;2;8;4;3;4
"SP21_0FOZWYAHJMAV";5;4;5;6;5;3;3;4;3;4;3;2;3;3;1;3;3;2;3;3;3;2;2;2
"SP21_0FZ44GTC3BJU";5;4;6;5;4;3;3;4;2;4;3;4;3;3;2;3;4;1;4;4;8;4;2;3
"SP21_0GNCVXEOO6U6";6;6;6;6;6;3;3;4;3;4;3;3;3;4;2;3;4;2;4;2;7;2;2;2
"SP21_0HR2T7UEC34E";3;3;3;3;2;3;3;4;3;4;4;4;3;4;4;5;3;5;3;2;7;2;2;2
"SP21_0HVUQTD8RU0Q";6;7;7;7;7;2;2;3;2;4;2;2;3;2;3;4;3;2;2;1;8;4;2;1
"SP21_0HZ8UMYNHYLO";2;4;5;5;7;4;3;4;4;3;2;4;2;4;2;5;4;2;2;2;NA;2;2;3
"SP21_0JO303HITVRY";2;3;4;2;3;2;3;2;2;2;4;3;3;3;2;2;4;2;3;3;8;2;2;2
"SP21_0JTS0IYQ6GEL";7;7;7;7;6;3;4;4;3;4;4;4;2;4;1;3;5;3;4;2;8;1;1;6
"SP21_0MUQP80Z3FXV";6;6;6;6;5;3;3;3;3;3;3;3;3;3;2;2;4;2;3;3;5;2;2;3
"SP21_0NOPNJ8IEOZZ";6;5;5;6;1;3;2;3;3;3;2;3;3;3;1;3;4;4;4;4;7;1;1;4
"SP21_0O6AX2IQ8EJ9";3;2;4;5;2;3;3;3;4;3;2;2;4;2;2;5;1;4;2;2;7;2;2;4
"SP21_0OEWUCMBK6C6";6;7;7;7;7;2;3;4;3;4;3;3;3;3;4;5;4;4;4;3;8;2;2;2
"SP21_0TBDDZH4PO3H";4;4;3;4;2;3;3;4;2;3;3;3;3;3;2;5;3;1;3;3;5;1;2;2
"SP21_0W2CK5RNKUGS";2;4;4;5;4;2;3;3;4;3;4;3;4;4;2;5;3;3;3;2;7;4;2;4
"SP21_11IY754ELU8S";5;5;5;5;7;4;3;3;3;3;3;3;4;3;3;5;4;3;2;2;8;2;2;2
"SP21_13TSP6RIQVL5";3;5;5;3;4;3;3;4;3;4;4;4;2;4;2;4;4;3;4;3;8;2;2;1
"SP21_142DKLHBZFTO";5;5;5;6;6;3;3;4;2;4;3;3;3;4;5;4;4;3;3;2;8;2;2;1
"SP21_148IQRCZFXKS";2;3;1;2;1;3;3;4;3;4;2;3;4;2;3;4;3;3;2;2;6;2;2;2
"SP21_15IK6Y8F0MNG";3;2;4;5;2;3;3;3;3;3;2;3;4;2;2;4;3;2;2;1;7;1;2;5
"SP21_1684EUMGXK9V";6;6;6;6;6;3;2;3;2;4;2;3;3;1;4;3;2;3;1;3;6;2;2;3
"SP21_16GWUE85WC6E";2;1;2;2;6;4;3;1;4;1;2;2;4;1;3;1;2;2;1;3;3;2;2;4
"SP21_194RM815NFRY";1;6;5;6;2;3;2;3;4;3;3;2;4;1;2;5;4;4;3;3;6;4;2;4
"SP21_19F0RKNQUUYP";4;4;6;5;3;3;3;3;3;3;2;2;3;3;2;3;4;2;3;3;5;2;2;1
"SP21_1BDCIFBIC16D";5;5;6;5;5;3;2;2;4;3;2;2;3;2;2;3;4;4;4;3;8;2;2;4
"SP21_1BO2HWKOQU49";2;4;2;5;4;4;3;2;3;2;3;3;4;3;2;5;3;4;2;1;6;2;2;3
"SP21_1FT54OS1OVYY";5;6;6;6;6;3;2;1;4;2;2;1;4;1;1;5;5;3;4;2;6;2;2;2
"SP21_1FWU7A7DRYJ3";6;7;7;7;7;2;4;4;2;4;4;4;1;3;1;3;5;2;4;3;8;4;2;4
"SP21_1IP37CN66MMQ";2;6;5;4;1;3;4;4;3;3;2;2;2;3;1;2;3;1;2;3;6;3;3;4
"SP21_1JSVV3FCKRB1";5;6;4;5;2;4;2;3;4;3;2;2;3;3;2;5;4;4;3;2;7;2;2;3
"SP21_1LBWWW6QYQG0";4;2;3;5;5;4;2;2;4;2;2;2;3;2;3;3;3;3;3;3;3;3;2;1
"SP21_1LJ1HP2RKIQ4";3;5;5;5;6;3;2;3;3;3;3;3;3;3;4;5;3;3;3;2;4;2;2;3
"SP21_1LZKRY7UB9E8";6;6;6;4;6;2;4;4;1;4;4;3;3;4;1;2;5;2;4;4;7;2;2;3
"SP21_1MI08RHGRJTH";1;1;1;2;1;1;3;4;4;4;1;3;4;3;5;5;1;5;1;1;4;1;1;3
"SP21_1N96XSMJ9KKL";5;7;7;5;7;1;4;4;2;3;4;4;1;4;1;2;5;3;5;5;3;4;2;7
"SP21_1N9N93UBMKLC";5;6;6;3;5;2;3;4;2;4;3;4;2;3;2;3;4;1;4;3;7;4;2;3
"SP21_1RDTLXJB9YZ9";5;5;5;3;3;3;3;3;4;3;2;2;3;2;2;3;4;3;2;4;7;4;2;4
"SP21_1RPD0IRQ7T7I";5;5;3;3;3;2;2;4;3;4;3;2;3;4;2;4;4;4;4;2;7;2;2;2
"SP21_1RT60UUX4PC3";2;2;2;2;2;4;2;3;4;3;2;3;4;1;1;4;2;4;2;1;4;2;2;2
"SP21_1T1NP46GXVP8";4;5;6;4;5;3;3;4;2;3;4;3;2;3;2;3;4;2;2;1;4;2;2;2
"SP21_1U5DI28TEKEA";2;2;2;1;1;4;3;2;3;3;3;3;3;4;4;4;4;3;4;4;6;2;2;2
"SP21_1YA751JMZLMM";3;3;2;2;1;3;3;4;2;4;4;3;3;3;2;4;3;3;3;2;8;2;2;2
"SP21_215AWMHQR8TX";5;6;5;6;4;3;3;1;3;3;3;3;4;3;1;4;4;4;3;3;7;2;2;2
"SP21_217G97JE6WLO";6;6;7;5;2;1;4;4;2;4;4;4;2;4;1;4;5;2;4;4;7;4;3;5
"SP21_21EL8BPVNPHF";1;3;4;1;2;3;3;3;3;3;3;3;3;3;2;4;4;4;4;4;NA;4;2;4
"SP21_22VCAFL05HGX";3;3;3;5;2;4;3;4;4;2;3;2;4;3;3;5;2;4;3;2;4;2;2;1
"SP21_25XQX1B3GBYS";5;5;6;7;5;4;3;3;3;3;2;3;3;2;1;3;4;1;5;3;7;4;3;4
"SP21_27CZFS5OBP1D";5;6;5;5;1;3;2;2;3;2;2;3;3;2;3;4;3;2;3;2;6;4;3;5
"SP21_27T38J33L8ZM";6;5;6;6;5;2;3;4;3;4;3;4;3;3;1;3;5;3;4;4;7;2;2;4
"SP21_2AW907OCERKD";3;6;3;6;2;4;3;4;2;4;3;3;3;4;3;4;4;3;2;3;8;2;2;3
"SP21_2B46M6YOYMTW";3;2;3;3;3;3;3;1;3;2;2;2;3;3;3;3;4;2;3;4;3;2;2;4
"SP21_2C0CPWSDPYLE";2;2;2;2;3;4;3;3;3;3;3;3;4;3;3;5;3;4;2;3;9;3;2;2
"SP21_2EU9VA442QSD";5;5;5;5;2;3;2;3;3;4;2;3;4;2;2;4;5;3;3;4;8;3;2;1
"SP21_2IIQKZ1212D7";3;2;5;3;2;3;3;4;3;4;4;3;3;3;1;5;5;4;2;2;4;2;3;2
"SP21_2ITJFPGFG6T2";5;5;5;3;3;3;2;3;3;3;2;3;4;2;2;4;4;2;4;2;8;2;2;1
"SP21_2J4K9QXPFIAJ";2;5;2;6;1;3;1;1;4;1;1;1;4;2;2;3;2;5;2;2;9;4;2;3
"SP21_2JV4G6TS8LNQ";3;2;3;5;3;3;3;3;3;3;3;4;4;2;3;4;2;5;2;3;7;2;2;2
"SP21_2KHQ4HZTY0G7";5;5;3;5;3;3;3;4;3;4;3;3;3;3;3;4;4;4;2;3;7;2;2;2
"SP21_2MZS6XU96KLN";2;2;2;2;2;3;2;3;3;3;1;1;4;3;1;3;2;1;1;3;7;2;2;4
"SP21_2N7HH65GIUGL";2;3;4;3;2;4;3;4;3;4;3;3;4;2;3;5;2;3;2;3;7;4;2;3
"SP21_2OCNHNMU6L6J";6;5;5;5;6;3;3;3;3;3;3;3;2;3;2;3;4;2;4;2;6;2;2;2
"SP21_2OT5S7S7Y0XQ";2;6;5;3;3;3;3;3;4;3;2;3;4;3;2;4;3;3;3;2;6;2;2;3
"SP21_2P5FRYTAJV88";6;5;6;7;6;3;3;3;4;3;3;3;4;3;4;4;4;4;4;3;6;1;1;5
"SP21_2PUGCU1IHH6N";3;3;5;6;3;3;3;4;3;4;3;3;3;3;2;3;3;3;2;3;7;2;2;1
"SP21_2REO5R3SFE72";5;5;5;4;3;2;3;3;3;4;3;3;3;4;1;3;4;3;3;3;6;2;2;2
"SP21_2S3VZR9O4L48";1;2;3;1;2;4;3;2;3;3;2;2;4;2;5;4;2;1;3;2;7;2;2;2
"SP21_2S4YVIXSM4JX";3;3;1;2;1;4;2;4;2;3;2;3;4;4;5;5;2;5;3;1;2;4;2;2
"SP21_2SKS9TF54SGH";3;6;2;2;1;3;2;2;4;2;2;2;3;1;3;4;3;5;2;2;8;2;2;2
"SP21_2TFCVTZ1PEZL";5;5;5;6;4;4;2;2;4;3;2;3;4;3;1;4;3;4;3;2;7;2;2;2
"SP21_2UQUAHTFCHSM";6;7;7;7;6;3;3;4;4;4;3;3;4;2;1;2;4;3;3;4;10;2;2;2
"SP21_2UZC0UY5NCPQ";5;4;6;5;5;3;2;3;2;4;3;2;4;3;1;4;3;3;3;3;6;4;3;4
"SP21_2VGSIRA86NXB";3;3;7;6;2;1;4;4;2;4;3;4;2;4;2;4;5;2;5;2;4;2;2;2
"SP21_2XPIKN5AKNOS";3;5;3;6;5;3;3;4;3;4;3;3;2;4;3;5;4;5;4;2;7;2;2;3
"SP21_2Y3T6OLEU0P1";6;1;4;1;2;3;2;1;4;3;4;2;4;4;4;4;3;3;2;2;5;1;1;6
"SP21_2YH2ES217IKB";5;6;5;6;5;3;4;4;2;4;3;3;1;4;1;3;5;1;3;3;9;4;2;4
"SP21_2ZH44RFOOFB5";5;6;6;3;6;2;3;4;2;4;3;3;3;4;2;5;3;1;4;1;5;1;3;5
"SP21_2ZM1KMP6MAYL";6;2;3;4;2;2;1;1;4;2;2;2;4;3;2;4;3;3;2;2;7;1;1;7
"SP21_31MC4QUGBSRY";3;5;5;6;2;3;3;3;4;3;3;3;3;2;4;3;3;4;2;2;6;2;2;3
"SP21_31Y7ZYVG23NS";2;7;7;7;7;3;3;3;3;4;3;4;2;4;2;2;5;4;4;5;3;4;2;4
"SP21_38DWQN2XUKEL";2;5;6;5;2;3;4;4;2;4;4;4;1;4;1;1;5;2;4;5;6;2;2;3
"SP21_39PVMQRMDMG0";3;5;4;2;3;2;3;4;3;3;2;2;3;2;2;4;3;4;2;2;7;3;2;2
"SP21_3ACCIPB5ZRO9";6;6;6;6;3;3;4;4;3;4;3;3;3;3;3;2;4;2;3;4;9;4;2;3
"SP21_3D80SMCRE76T";2;4;3;5;2;3;4;3;3;4;3;3;3;4;1;3;2;3;2;4;7;2;2;1
"SP21_3DTVQ9VZIVN7";2;6;1;7;7;4;2;3;4;2;2;2;4;1;1;4;3;2;1;2;5;2;2;2
